Backend,FFT Size,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Run 6 (ms),Run 7 (ms),Run 8 (ms),Run 9 (ms),Run 10 (ms),Mean,Std Dev
cufftdx,64,26.6804,26.7622,26.7284,26.6250,26.6424,26.6813,26.6188,26.6660,26.7366,26.6926,26.6834,0.0455
cufftdx,128,26.8029,26.8213,26.8236,26.8093,26.8298,26.8383,26.7908,26.8155,26.7991,26.7977,26.8128,0.0146
cufftdx,256,26.9711,26.9251,26.8585,26.7906,26.8378,26.9629,27.0009,26.8800,26.9138,26.9506,26.9091,0.0630
cufftdx,512,27.3469,27.3254,27.3796,27.4461,27.4092,27.2373,27.2026,27.1237,26.9344,27.2260,27.2631,0.1458
cufftdx,1024,26.8913,27.1082,26.8012,26.9404,26.9076,26.9588,26.8790,27.1124,27.0510,27.1759,26.9826,0.1160
cufftdx,2048,27.2026,26.7991,26.7916,26.8616,26.6342,27.2243,26.7886,26.7724,26.9751,27.2568,26.9306,0.2105
cufftdx,4096,27.2138,26.8923,26.9322,26.8749,26.9947,26.6045,26.8062,27.1596,26.9578,27.2260,26.9662,0.1840
