Backend,FFT Size,Run 1 (GB/s),Run 2 (GB/s),Run 3 (GB/s),Mean,Std Dev
cufftdx,64,26.65,26.69,26.76,26.70,0.05
cufftdx,128,26.85,26.81,26.82,26.83,0.02
cufftdx,256,26.90,26.84,27.01,26.92,0.07
cufftdx,512,27.25,27.52,27.14,27.30,0.16
cufftdx,1024,27.09,26.81,26.82,26.91,0.13
cufftdx,2048,26.75,26.73,26.85,26.78,0.05
cufftdx,4096,27.09,26.79,27.18,27.02,0.17
